word,synonyms,Kannada,English,Hindi
पाञ्चजन्य,पाञ्चजन्य शंख,ವಿಷ್ಣುವಿನ ಶಂಖ,Vishnu's counch,विष्णु के शंख
सुदर्शन,सुदर्शन चक्र,ವಿಷ್ಣುವಿನ ಚಕ್ರ,Vishnu's discus,विष्णु के चक्र
कौमोदकी,कौमोदकी गदा,ವಿಷ್ಣುವಿನ ಗದೆ,Vishnu's club,विष्णु की गदा
नन्दक,नन्दक खड्ग,ನಂದಕ ವಿಷ್ಣುವಿನ ಖಡ್ಗ,Nandaka Vishnu's sword,नन्दक विष्णु के खड्ग 
कौस्तुभ,कौस्तुभ,ವಿಷ್ಣುವಿನ ಮಣಿ,Vishnu's breast jewel,विष्णु की मणि
गरुड,अरुण सूरसूत अनूरु काश्यपि गरुडाग्रज,ಸೂರ್ಯಸಾರಥಿಯಾದ ಅರುಣನು,"Aruna, the sun's charioteer (the down)",सूर्य के सारथि अरुण
तार्क्ष्य,रसा़ञ्जन रसगर्भक तार्क्ष्यशैल,ರಸಾಂಜನ,A kind of collyrium,b''
वैनतेय,गरुड गरुत्मत् तार्क्ष्य वैनतेय खगेश्वर नागान्तक विष्णुरथ सुपर्ण पन्नगाशन,ವಿಷ್ಣು ದೇವರ ವಾಹನವಾದ ಗರುಡ,Vishnu's vehicle,गरुड
खगेश्वर,गरुड गरुत्मत् तार्क्ष्य वैनतेय खगेश्वर नागान्तक विष्णुरथ सुपर्ण पन्नगाशन,ವಿಷ್ಣು ದೇವರ ವಾಹನವಾದ ಗರುಡ,Vishnu's vehicle,गरुड
नागान्तक,गरुड गरुत्मत् तार्क्ष्य वैनतेय खगेश्वर नागान्तक विष्णुरथ सुपर्ण पन्नगाशन,ವಿಷ್ಣು ದೇವರ ವಾಹನವಾದ ಗರುಡ,Vishnu's vehicle,गरुड
विष्णुरथ,गरुड गरुत्मत् तार्क्ष्य वैनतेय खगेश्वर नागान्तक विष्णुरथ सुपर्ण पन्नगाशन,ವಿಷ್ಣು ದೇವರ ವಾಹನವಾದ ಗರುಡ,Vishnu's vehicle,गरुड
सुपर्ण,गरुड गरुत्मत् तार्क्ष्य वैनतेय खगेश्वर नागान्तक विष्णुरथ सुपर्ण पन्नगाशन,ವಿಷ್ಣು ದೇವರ ವಾಹನವಾದ ಗರುಡ,Vishnu's vehicle,गरुड
पन्नगाशन,गरुड गरुत्मत् तार्क्ष्य वैनतेय खगेश्वर नागान्तक विष्णुरथ सुपर्ण पन्नगाशन,ವಿಷ್ಣು ದೇವರ ವಾಹನವಾದ ಗರುಡ,Vishnu's vehicle,गरुड
ईश,स्वामिन् पति ईशितृ अधिभू नायक नेतृ प्रभु परिवृढ अधिप,None,None,None
